id,first_name,last_name,gender,university_name,city_of_residence,field_of_study,category_interest,interest
rec0FEma1r8dvEuoG,Patton,Vanderson,Male,Marmara Üniversitesi,İstanbul,Bilgisayar Mühendisliği,Spor ve Sağlık,Meditasyon
rec0FJIFmKx2tUFqR,Ricki,Dack,Female,Gazi Üniversitesi,Ankara,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec0FixIEo1RDCC95,Felicio,McOrkill,Male,Boğaziçi Üniversitesi,İstanbul,İşletme,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec0P9UP1JtpEg7Ct,Poul,Beech,Male,Yüksek İhtisas Üniversitesi,Ankara,Deniz Bilimleri,Oyun ve Zeka Aktiviteleri,Satranç
rec0TmhHBc4EY1Zo1,Babita,Angrove,Female,Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,Hukuk,Spor ve Sağlık,Dağcılık
rec0W0GhcOkk2JwgK,Paxon,Rothera,Male,Atatürk Üniversitesi,Erzurum,Ekonomi,Sanat ve Yaratıcılık,Yaratıcı Yazarlık
rec0dQy5QC2nwLPtb,Anastassia,Goodlad,Female,Yalova Üniversitesi,Yalova,Bilgisayar Mühendisliği,Teknoloji ve Bilim,Web Tasarımı
rec0f53sl2szVimPx,Karie,Lube,Female,İstanbul Kadir Has Üniversitesi,İstanbul,Bilgisayar Mühendisliği,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec0kP30Jg5TrZUa0,Hilliary,Moret,Female,Lise,Eskişehir,Yok,Spor ve Sağlık,Yoga
rec0wMHGRrgO4gMrC,Pearline,Troak,Female,Yüksek İhtisas Üniversitesi,Ankara,Tıp,Doğa ve Açık Hava Aktiviteleri,Doğa Yürüyüşü
rec11775m2YEJq6gQ,Calli,Gatiss,Male,Türkiye Yüksek İhtisas Üniversitesi,Ankara,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec12jiPdVTR1GFmj,Belinda,Ballam,Female,Anadolu Üniversitesi Yerleşik,Eskişehir,Tıp,Oyun ve Zeka Aktiviteleri,Satranç
rec15XrN2znzJfExQ,Ford,Pynn,Male,Samsun Üniversitesi,Samsun,Tarım Bilimleri,Teknoloji ve Bilim,Web Tasarımı
rec18HOIaQI48pDvk,Evvy,Trouncer,Female,İstanbul Kemerburgaz Üniversitesi,İstanbul,Hukuk,Sanat ve Yaratıcılık,Sinema
rec18UD3IqflZivFE,Persis,Beamish,Female,Karadeniz Teknik Üniversitesi,Trabzon,İşletme,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec1DrdVPOmxy4e7V,Rodd,Fyfield,Male,İstanbul Kemerburgaz Üniversitesi,İstanbul,Veterinerlik,Diğer İlgi Alanları,Kitap Okuma
rec1Fig0cZuqt4Dq2,Kent,Whistlecroft,Male,İnönü Üniversitesi,Malatya,Hukuk,Diğer İlgi Alanları,Kitap Okuma
rec1GB5sKyqmH14ck,Frederich,Spira,Male,Karadeniz Teknik Üniversitesi (KTÜ),Trabzon,Ekonomi,Oyun ve Zeka Aktiviteleri,Satranç
rec1HHncXxCvWaBcY,Case,Grzegorzewski,Male,İstanbul Şehir Üniversitesi,İstanbul,Tıp,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec1IbmcDFZzsQbET,Aldwin,Pharaoh,Male,Ankara Üniversitesi,Ankara,Veterinerlik,Diğer İlgi Alanları,Yemek Yapma
rec1JhFR5sXVmgAAJ,Gunilla,Humphrys,Female,Mersin Üniversitesi,Mersin,Bilgisayar Mühendisliği,Spor ve Sağlık,Yoga
rec1SO74UKZ6JP134,Otto,Vergine,Male,Boğaziçi Üniversitesi,İstanbul,Eczacılık,Gönüllülük ve Toplumsal Faaliyetler,Hayvan Bakımı
rec1YvbtDmRWLULJT,Fergus,Hollingsbee,Male,İstanbul Üniversitesi,İstanbul,Veterinerlik,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec1dxOAfIsENlFne,Benji,Cookes,Male,Trakya Üniversitesi,Edirne,Makine Mühendisliği,Diğer İlgi Alanları,Yemek Yapma
rec1fAz4tCG1JF8j5,Alanson,Woods,Male,Rize Üniversitesi,Rize,Hukuk,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec1iEtdoMbRwwePX,Kathy,Reck,Female,Doğuş Üniversitesi,İstanbul,Ekonomi,Diğer İlgi Alanları,Kitap Okuma
rec1oXzFEtUwdJUP9,Cort,Ewert,Male,Gazi Üniversitesi,Ankara,Eczacılık,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec1tLKWdD6KcFHxF,Rurik,Drewett,Male,Koç Üniversitesi Anadolu,İstanbul,Elektrik ve Elektronik Mühendisliği,Diğer İlgi Alanları,Sosyal Medya
rec1v5zzZtSbge9k0,Sullivan,Bakewell,Male,İstanbul Aydın Üniversitesi,İstanbul,Ziraat Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
